id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2024-519356,2024-01-29,000001,Vente,520000,5,B,RUE MADELEINE,6110,94210,94068,Saint-Maur-des-Fossés,94,,,94068000BH0131,,,,,,,,,,,,,0,1,Maison,129,4,S,sols,,,322,2.519646,48.795073
2024-519357,2024-02-06,000001,Vente,300000,34,,AV MAL DE LATTRE DE TASSIGNY,0750,94350,94079,Villiers-sur-Marne,94,,,94079000AT0574,,,,,,,,,,,,,0,1,Maison,50,4,S,sols,,,483,2.537148,48.821494
2024-519357,2024-02-06,000001,Vente,300000,34,,AV MAL DE LATTRE DE TASSIGNY,0750,94350,94079,Villiers-sur-Marne,94,,,94079000AT0574,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,483,2.537148,48.821494
2024-519358,2024-02-07,000001,Vente en l'état futur d'achèvement,237600,,,CIM DE VALENTON,B004,94460,94074,Valenton,94,,,94074000AD0018,,,116,,,,,,,,,,1,,,,,,,,,,2.468148,48.748901
2024-519358,2024-02-07,000001,Vente en l'état futur d'achèvement,237600,,,CIM DE VALENTON,B004,94460,94074,Valenton,94,,,94074000AD0018,,,62,,,,,,,,,,1,,,,,,,,,,2.468148,48.748901
2024-519359,2024-02-15,000001,Vente en l'état futur d'achèvement,221520,1,,RUE DE LA SARCELLE,1645,94190,94078,Villeneuve-Saint-Georges,94,,,94078000AW0222,,,43,,,,,,,,,,1,,,,,,,,,,2.428913,48.752206
2024-519359,2024-02-15,000001,Vente en l'état futur d'achèvement,221520,1,,RUE DE LA SARCELLE,1645,94190,94078,Villeneuve-Saint-Georges,94,,,94078000AW0222,,,67,,,,,,,,,,1,,,,,,,,,,2.428913,48.752206
2024-519360,2024-02-08,000001,Vente,288000,7,,AV DU PRESIDENT WILSON,7190,94230,94016,Cachan,94,,,940160000Q0096,,,132,,142,,,,,,,,2,3,Dépendance,,0,,,,,,2.330587,48.791701
2024-519360,2024-02-08,000001,Vente,288000,7,,AV DU PRESIDENT WILSON,7190,94230,94016,Cachan,94,,,940160000Q0096,,,132,,142,,,,,,,,2,2,Appartement,63,4,,,,,,2.330587,48.791701
2024-519361,2024-02-09,000001,Vente,27000,8,,RUE JEAN MOULIN,4730,94300,94080,Vincennes,94,,,940800000U0124,,,83,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.432675,48.845975
